//Admin Menu

"Manage Referral Points","Manage Referral Points"
"Configuration","Configuration"

//Manage Referral Points

"Import Referral Points","Import Referral Points"
"ID","ID"
"Email","Email"
"Referral Points","Referral Reward Points"
"Points","Points"

//Referral Points tab on Edit customer page

"Referral Points Information","Referral Reward Points Information"
"Change Referral Points Of Customer","Change Referral Points Of Customer"
"Amount","Amount"
"Action","Action"
"Subtraction","Subtraction"
"Addition","Addition"
"Comment","Comment"
"Balance","Balance"
"Transaction Details","Transaction Details"
"No Transaction Found","No Transaction Found"
"Transaction Time","Transaction Time"
"Status","Status"
"Pending","Pending"
"Complete","Complete"
"Uncomplete","Uncomplete"

//Import referral points

"Website","Website"
"CSV File","CSV File"
"Import","Import"
"You have some error while import points:","Some errors occur while importing points"
"At rows %s reward points must be numeric","At rows %s reward points must be integer value"
"At rows %s customer is not avaiable","At rows %s customer is not available"
"Your file was imported successfuly","File was imported successfully"
"You haven't selected import file yet","Please select a file to import!"
"Please select a file to import","Please select a file to import"

//Earning referral points

"General","General"
"Earning Points","Earning Points"
"Configuration","Configuration"
"Enable Referral Points","Enable Referral Points"
"Points/Currency Rate","Points/Currency Rate"
"Registration","Registration"
"Signup Newsletter","Signup Newsletter"
"Reviewing Product","Reviewing Product"
"Tagging Product","Tagging Product"
"Participating in Poll","Participating in Poll"
"Purchasing Order","Purchasing Order"
"Maximum Points to Purchasing Order","Maximum Points to Purchasing Order"
"For Referral Link","For Referral Link"
"Friend Registration","Friend Registration"
"Friend First Purchase","Friend First Purchase"
"Friend Second Purchase","Friend Second Purchase"
"leave blank or 0 to disable","leave blank or 0 to disable"
"Format ( points / order amount ) - leave blank or 0 to disable","Format ( points / order amount ) - leave blank or 0 to disable"
"Format (fixed number of points or percent of grand total) leave blank or 0 to no limitations","Format (fixed number of points or percent of grand total) leave blank or 0 to no limitations"
"Fixed number of points or Format ( points / order total ) - leave blank or 0 to disable","Fixed number of points or Format ( points / order total ) - leave blank or 0 to disable"

//My referral points

"My Referral Points","My Referral Reward Points"
"Referral Points Information","Referral Reward Points Information"
"Referral Points Management","Referral Points Management"
"Your Referral Points: <strong> %s </strong>  =  <strong>%s</strong>","Your Referral Reward Points: <strong> %s </strong>  =  <strong>%s</strong>"
"Referral Point / Currency Rate: <strong> %s </strong>  =  <strong>%s</strong>","Referral Reward Points / Currency Rate: <strong>%s</strong> = <strong>%s</strong>"
"Transaction History","Transaction History"
"Date","Date"
"Transaction Types","Transaction Types"
"Use your rewarded points","Use your rewarded points"
"Email of your friends","Email of your friends"
"Friend name","Friend name"
"Points","Points"
"Security Code","Security Code"
"Share Referral Points To Friend","Share Referral Reward Points To Friend"
"Date","Date"
"Points","Points"
"Balance","Balance"
"Transaction Details","Transaction Details"
"Status","Status"
"Referral & Reward Points Management","Referral Reward Points Management"

//Transaction type

"Register","Registration"
"Submit Product Review","Submit Product Review"
"Purchase Product","Purchase Product"
"Invite A Friend","Invite a friend"
"Friend Registering","Referee's registration"
"Friend First Purchase","Referee purchases first order"
"Recive From Your Friend","Receiving from other"
"Send Points To Friend","Sending points to friend"
"Checkout An Order","Buying product"
"Use To Checkout","Use To Checkout"
"Add By Admin","Added By Admin"
"Subtract By Admin","Subtract By Admin"
"Exchange From Credit","Exchange from credit"
"Friend Second Purchase","Friend Second Purchase"
"Submit Poll","Submit Poll"
"Tagging product","Tagging product"
"Receive From Friend","Receive From Friend"
"Friend Purchase","Friend Purchase"
"Sign Up For Newsletter","Sign Up For Newsletter"

//Transaction detail

"Reward from admin: <i>%s</i>","Reward from admin: <i>%s</i>"
"Subtract by admin: <i>%s</i>","Subtract by admin: <i>%s</i>"
"Send points to friend","Send points to friend"
"Email of your friend","Email of your friend"
"Friend name","Friend name"
"Security Code","Security Code"
"Send","Send"
"* Required Fields","* Required Fields"
"Earned for registering","Earned for registering"
"Earned for reviewing product <b><a href='%s'>%s</a></b>","Earned for reviewing product <b><a href='%s'>%s</a></b>"
"Earned for purchasing product <b><a href='%s'>%s</a></b>","Earned for purchasing product <b><a href='%s'>%s</a></b>"
"Earned for friend (<b>%s</b>) visit refferal link","Earned for friend (<b>%s</b>) visit refferal link"
"Earned for friend (<b>%s</b>) registering","Earned for friend (<b>%s</b>) registering"
"Earned for friend first purchase (<b>%s</b>)","Earned for friend first purchase (<b>%s</b>)"
"Earned for friend second purchase (<b>%s</b>)","Earned for friend second purchase (<b>%s</b>)"
"Earned points from friend (<b>%s</b>)","Earned points from friend (<b>%s</b>)"
"Share points to friend (<b>%s</b>)","Share points to friend (<b>%s</b>)"
"Earned for purchasing order <b><a href='%s'>#%s</a></b>","Earned for purchasing order <b><a href='%s'>#%s</a></b>"
"Use to purchase order <b><a href='%s'>#%s</a></b>","Use to purchase order <b><a href='%s'>#%s</a></b>"
"Reward from admin: <i>%s</i>","Reward from admin: <i>%s</i>"
"Subtract by admin: <i>%s</i>","Subtract by admin: <i>%s</i>"
"Earned for participating in poll","Earned for participating in poll"
"Earned for signing up newsletter","Earned for signing up newsletter"
"Earned for submitting tags","Earned for submitting tags"
"You will earn %s %s points for tag this product after admin approval.","You will earn %s %s points for tag this product after admin approval."
"You will earn %s %s points for reviewing this product after admin approval.","You will earn %s %s points for reviewing this product after admin approval."

//Customer

"You earned %s %s points for registration.","You earned %s %s points for registration."
"You earned %s %s points for sign up newsletter.","You earned %s %s points for sign up newsletter."



//Checkout page

"You will earn %s %s if you purchase this ( %s ) product.","You will earn %s %s if you purchase this ( %s ) product."
"You will earn %s %s if you complete this order.","You will earn around %s %s if you complete this order."
"Use Your Reward Points!","Use your rewarded points!"
"You will be awarded","You will be awarded"
"%s for <b>%s grand total</b> of this order","%s for <b>%s grand total</b> of this order"
"%s for product: <b>%s</b>","%s for product: <b>%s</b>"
"Your current balance of rewarded points: <b>%s</b>","Your current balance of rewarded points: <b>%s</b>"
"Points/Currency Exchange Rate: <b>%s</b> = <b>%s</b>","Points/Currency Exchange Rate: <b>%s</b> = <b>%s</b>"
"Spend your rewarded points","Spend your rewarded points"
"Choose number of points to spend","Choose number of points to spend"
"Points spent to checkout","Points spent to checkout"
"Use maximum number of points","Use maximum number of points"
"You Spend","You Spend"
"Please <a href='%s'>LOGIN</a> to use referral points","Please <a href='%s'>Login</a> to use your referral points"
"Show","Show"
"Points / Currency Rate: <b>%s</b> <b>%s</b>  <b>%s</b>","Points / Currency Rate: <b>%s</b> <b>%s</b>  <b>%s</b>"
"Spend Your Reward Points :","Spend Your Reward Points :"
"your rewarded points","your referral points"
"Hide","Hide"
"You Spend","You Spend"
"Discount ( Referral Points )","Discount ( Referral Points )"
"Referral Points Discount","Referral Points Discount"

//Message

"You have been rewarded %s %s for submitting poll","You have been rewarded %s %s for submitting poll"
"You recived %s Reward Points for signing up!","You have been rewarded %s points for signing up!"
"You received %s for signing up a newsletter","You have been rewarded %s for subscribing newsletter!"
"You have some error while import points:","You have some error while import points:"
"You haven't selected import file yet","You haven't selected import file yet"
"Email can not send !","Email can not send !"
"Your reward points were sent successfuly","Your reward points were sent successfully"
"Your reward points were sent successfully","Your reward points were sent successfully"
"You can not send reward points to yourself","You can not send reward points to yourself"
"You do not have enough points to send to your friend","You do not have enough points to send to your friend"
"Your Security code is incorrect","Your Security code is incorrect"
"You do not have permission!","You do not have permission!"
"There is a system error. Please contact to administrator.","There is a system error. Please contact to administrator."
"Seperate by comma (,)","Seperate by comma (,)"
"Spent Reward Points","Spent Reward Points"
"Referral Points Discount","Referral Points Discount"
"Transaction Type","Transaction Type"
"Referral Points Manager","Referral Points Manager"
"Some errors occur while importing points","Some errors occur while importing points"
"Please select a file to import","Please select a file to import"
"You must login to use this function","You must login to use this function"
"Email can not send","Email can not send"
"Updating cart information...","Updating cart information..."

//My Invitations

"My Invitation", "My Invitation"
"Invitation", "Invitation"
"Share With Social Networks","Share With Social Networks"
"With friends on Facebook, Twitter,Linked in and Google+","With friends on Facebook, Twitter,Linked in and Google+"
"Share With Facebook", "Share With Facebook"
"Share With Twitter", "Share With Twitter"
"Share With Linked in","Share With Linked in"
"Referral Link", "Referral Link"
"Copy + paste your personal link into your blog, email or IM.", "Copy + paste your personal link into your blog, email or IM."
"Invite Friends Via Email", "Invite Friends Via Email"
"Send invitation emails to your friends and family", "Send invitation emails to your friends and family"
"Email of your friends", "Email of your friends"
"Separate with commas (,)", "Separate with commas (,)"
"Message", "Message"
"Send", "Send"
"* Required Fields", "* Required Fields"
